scenario_id,regime,design_component,peclet_number,damkohler_number,rows,active_rows,mae,rmse,r2,active_mae,active_rmse,maximum_absolute_error,integrated_mass_relative_error,arrival_time_absolute_error_s,arrival_positions,missed_arrival_positions,pde_residual_rmse_s_1,initial_condition_maximum_absolute_error,inlet_boundary_maximum_absolute_error
A5-CH-0065,retardation_only,latin_hypercube,54.5442214675,0,2499,375,0.00415785496571,0.0172655307952,0.987701802324,0.0256614674795,0.0405413858117,0.277619034052,0.0547267068367,1800,50,0,7.52020271105e-05,0,0
A5-CH-0066,retardation_only,latin_hypercube,21.2871537983,0,2499,585,0.00579123178083,0.0195293318047,0.995853803189,0.0241611030301,0.0402472325115,0.219365515675,0.00183350081651,1800,50,0,0.000132042852247,0,0
A5-CH-0067,retardation_only,latin_hypercube,10.5201242204,0,2499,1264,0.0094442615024,0.0248395875683,0.923041823608,0.0184204510987,0.0348376842869,0.270729605396,0.12335592532,1800,50,0,0.000124107316869,0,0
A5-CH-0068,retardation_only,latin_hypercube,227.363044828,0,2499,149,0.00475479239256,0.0242799921207,0.972053912346,0.0784227320061,0.0992674697483,0.226257214962,0.023835951736,1800,50,0,7.45536678496e-05,0,0
A5-CH-0069,retardation_only,latin_hypercube,142.029023058,0,2499,372,0.0042951359927,0.0155581350977,0.993428363134,0.0285039817847,0.0402478915014,0.140231174048,0.0214629677826,1800,50,0,4.25238494411e-05,0,0
A5-CH-0070,retardation_only,latin_hypercube,23.4589526692,0,2499,653,0.00649186776089,0.0211624869256,0.980875645109,0.0247847889635,0.0413980858523,0.164234779768,0.0963956356147,0,50,0,3.91711036528e-05,0,0
A5-CH-0071,retardation_only,latin_hypercube,30.2800898858,0,2499,1038,0.00817356443975,0.0237335408543,0.986894614676,0.0189297044711,0.0355031328549,0.397949635756,0.0313963491692,1800,50,0,5.1817187689e-05,0,0
A5-CH-0072,retardation_only,latin_hypercube,71.6942005678,0,2499,538,0.00451596941188,0.0150610587569,0.997322718466,0.0209258985445,0.0324587772009,0.204659169536,0.014123247965,1800,50,0,4.10815206547e-05,0,0
A5-CH-0073,retardation_only,latin_hypercube,301.034451475,0,2499,197,0.00364682925695,0.0187211717796,0.990260661235,0.0450395261322,0.0663690724218,0.310697201791,0.000649758935139,1800,50,0,8.76159445168e-05,0,0
A5-CH-0074,retardation_only,latin_hypercube,7.0242746521,0,2499,2318,0.0173202652366,0.0310914112419,0.970719043285,0.0186166470394,0.0322699048654,0.404692132844,0.0231380590662,1800,50,0,0.000156282484171,0,0
A5-CH-0075,retardation_only,latin_hypercube,19.3323557016,0,2499,710,0.00769761745497,0.0212881543589,0.992435511986,0.0265936975992,0.0397007936322,0.219299274497,0.0284316760534,1800,50,0,0.000215069714866,0,0
A5-CH-0076,retardation_only,latin_hypercube,41.7365392138,0,2499,930,0.00712828104071,0.0199779433305,0.987251188513,0.0187931659318,0.0323426464363,0.160486293431,0.0544707046983,1800,50,0,6.02419195811e-05,0,0
A5-CH-0077,retardation_only,latin_hypercube,124.423781125,0,2499,383,0.00440685541212,0.0172721530016,0.993355358435,0.0265398956838,0.0380983253369,0.356076538563,0.00993405895609,1800,50,0,5.61495386308e-05,0,0
A5-CH-0078,retardation_only,latin_hypercube,36.8580068563,0,2499,933,0.00784772861304,0.0208410481032,0.988736670378,0.0203393997455,0.0326214972109,0.243597522378,0.0356555562042,1800,50,0,4.21728213436e-05,0,0
A5-CH-0079,retardation_only,latin_hypercube,94.7489362536,0,2499,406,0.00297667687756,0.012748107363,0.997841753787,0.0181622880682,0.0316140395768,0.293340027332,0.0170133299809,1800,50,0,7.52161574688e-05,0,0
A5-CH-0080,retardation_only,latin_hypercube,14.0563904217,0,2499,733,0.00720467089194,0.0228974446755,0.967177026517,0.0244775252019,0.0422746555296,0.316538214476,0.135058388121,0,50,0,0.000166154940615,0,0
A5-CH-0081,retardation_only,latin_hypercube,5.68208026004,0,2499,1948,0.0119035544413,0.026215381805,0.978807610158,0.0151234700026,0.0296539652039,0.298447714924,0.0383202026999,0,50,0,0.00024412788272,0,0
A5-CH-0082,retardation_only,latin_hypercube,14.0666576593,0,2499,565,0.00606142194449,0.0189720173368,0.995212107625,0.0263974949619,0.0398391928325,0.135163634128,0.00682339381161,900,50,0,0.000146340040514,0,0
A5-CH-0083,retardation_only,latin_hypercube,45.0813134702,0,2499,1400,0.0156165507671,0.0342905758864,0.974391139835,0.0278494867721,0.0458131015396,0.483395060615,0.00591341635607,1800,50,0,3.67874090492e-05,0,0
A5-CH-0084,retardation_only,latin_hypercube,43.0060367122,0,2499,706,0.00749345790993,0.0210954615028,0.993652629785,0.0252455632721,0.0365617206704,0.312993943691,0.0113130536878,1800,50,0,6.05493264418e-05,0,0
A5-CH-0085,retardation_only,boundary_profile,50,0,2499,1413,0.0131321667511,0.0309853273687,0.956013337138,0.0228835909784,0.0406791424,0.514791852043,0.0166841722055,1800,50,0,3.83563365331e-05,0,0
A5-CH-0086,retardation_only,boundary_profile,2.5,0,2499,2342,0.0210387316734,0.0490206841395,0.834758413049,0.0195512288562,0.0372505902346,0.677727162838,0.0264213078046,1800,50,0,0.000405523808737,0,0
A5-CH-0087,retardation_only,boundary_profile,350,0,2499,238,0.00262485137723,0.0171194236863,0.995289619612,0.0212885958403,0.0369708363181,0.465390414,0.00835235897528,1800,50,0,0.00012198531986,0,0
A5-CH-0088,retardation_only,boundary_profile,17.5,0,2499,513,0.00685175622935,0.0263186936408,0.986212075025,0.0284169398577,0.043178742023,0.53491204977,0.0111851739763,1800,50,0,0.000240419541378,0,0
A5-CH-0089,retardation_only,boundary_profile,44.72135955,0,2499,526,0.00587336055054,0.0240974219225,0.904112105791,0.0248533799353,0.0426746216688,0.489565551281,0.0869671179873,1800,50,0,8.57376215288e-05,0,0
A5-CH-0090,retardation_only,boundary_profile,44.72135955,0,2499,480,0.00311418189068,0.0136647517724,0.99810193392,0.0161497732206,0.0311758889191,0.247299075126,0.00803471454395,0,50,0,0.000223254720139,0,0
A5-CH-0091,retardation_and_decay,latin_hypercube,151.900044217,0.00194481332784,2499,269,0.0031510927598,0.0177882378272,0.995713028216,0.0277707212544,0.0535740303333,0.238056539721,0.00658021152151,1800,50,0,0.000136947071212,0,0
A5-CH-0092,retardation_and_decay,latin_hypercube,51.784782481,0.00955516187707,2499,547,0.00549259900673,0.0173499006916,0.995310350912,0.0250320337344,0.0370825915562,0.196472939988,0.0134680760118,1800,50,0,4.73660143983e-05,0,0
A5-CH-0093,retardation_and_decay,latin_hypercube,70.2363392881,0.00110379910108,2499,416,0.00277631051554,0.0151988659069,0.997679484901,0.0158875090297,0.0370503977876,0.20282418128,0.00472069901774,1800,50,0,7.94874924862e-05,0,0
A5-CH-0094,retardation_and_decay,latin_hypercube,126.472257517,0.00990401076362,2499,266,0.00415762686168,0.0201486398461,0.974310274877,0.0356713806877,0.0555562600693,0.437370305515,0.0648385794732,1800,50,0,5.90718652044e-05,0,0
A5-CH-0095,retardation_and_decay,latin_hypercube,7.29897718452,0.203777335655,2499,2268,0.0201831272818,0.0350469717439,0.948615047865,0.0215127579786,0.0344146416342,0.405372709036,0.112198073232,1800,50,0,0.000169343368453,0,0
A5-CH-0096,retardation_and_decay,latin_hypercube,65.9613393185,0.00236069568616,2499,639,0.00642742368014,0.0191747898579,0.994981156211,0.0246422884734,0.0375113721495,0.23710029157,0.00869665207391,1800,50,0,3.72595556293e-05,0,0
